data_type,movement_number,test_file,node_name,position,src,dst,tx,rx,loss_pct,avg_rtt_ms
movement,1,test1.txt,sta1,"0,5,0",,,,,,
movement,2,test2.txt,sta2,"0,-15,0",,,,,,
movement,3,test3.txt,sta3,"10,10,0",,,,,,
movement,4,test4.txt,sta4,"80,10,0",,,,,,
ping,1,test1.txt,,,sta1,ap1,1,1,0,0.109
ping,1,test1.txt,,,sta1,ap2,1,1,0,0.049
ping,1,test1.txt,,,sta2,ap1,1,1,0,0.044
ping,1,test1.txt,,,sta2,ap2,1,1,0,0.047
ping,1,test1.txt,,,sta3,ap1,1,1,0,0.047
ping,1,test1.txt,,,sta3,ap2,1,1,0,0.039
ping,1,test1.txt,,,sta4,ap1,1,1,0,0.188
ping,1,test1.txt,,,sta4,ap2,1,1,0,0.034
ping,1,test1.txt,,,ap1,sta1,1,0,100,0
ping,1,test1.txt,,,ap1,sta2,1,0,100,0
ping,1,test1.txt,,,ap1,sta3,1,0,100,0
ping,1,test1.txt,,,ap1,sta4,1,0,100,0
ping,1,test1.txt,,,ap1,ap2,1,1,0,0.069
ping,1,test1.txt,,,ap2,sta1,1,0,100,0
ping,1,test1.txt,,,ap2,sta2,1,0,100,0
ping,1,test1.txt,,,ap2,sta3,1,0,100,0
ping,1,test1.txt,,,ap2,sta4,1,0,100,0
ping,1,test1.txt,,,ap2,ap1,1,1,0,0.139
ping,2,test2.txt,,,sta1,ap1,1,1,0,0.139
ping,2,test2.txt,,,sta1,ap2,1,1,0,0.063
ping,2,test2.txt,,,sta2,ap1,1,1,0,0.326
ping,2,test2.txt,,,sta2,ap2,1,1,0,0.066
ping,2,test2.txt,,,sta3,ap1,1,1,0,0.067
ping,2,test2.txt,,,sta3,ap2,1,1,0,0.041
ping,2,test2.txt,,,sta4,ap1,1,1,0,0.077
ping,2,test2.txt,,,sta4,ap2,1,1,0,0.027
ping,2,test2.txt,,,ap1,sta1,1,0,100,0
ping,2,test2.txt,,,ap1,sta2,1,0,100,0
ping,2,test2.txt,,,ap1,sta3,1,0,100,0
ping,2,test2.txt,,,ap1,sta4,1,0,100,0
ping,2,test2.txt,,,ap1,ap2,1,1,0,0.136
ping,2,test2.txt,,,ap2,sta1,1,0,100,0
ping,2,test2.txt,,,ap2,sta2,1,0,100,0
ping,2,test2.txt,,,ap2,sta3,1,0,100,0
ping,2,test2.txt,,,ap2,sta4,1,0,100,0
ping,2,test2.txt,,,ap2,ap1,1,1,0,0.081
ping,3,test3.txt,,,sta1,ap1,1,1,0,0.161
ping,3,test3.txt,,,sta1,ap2,1,1,0,0.056
ping,3,test3.txt,,,sta2,ap1,1,1,0,0.066
ping,3,test3.txt,,,sta2,ap2,1,1,0,0.079
ping,3,test3.txt,,,sta3,ap1,1,1,0,0.078
ping,3,test3.txt,,,sta3,ap2,1,1,0,0.170
ping,3,test3.txt,,,sta4,ap1,1,1,0,0.091
ping,3,test3.txt,,,sta4,ap2,1,1,0,0.059
ping,3,test3.txt,,,ap1,sta1,1,0,100,0
ping,3,test3.txt,,,ap1,sta2,1,0,100,0
ping,3,test3.txt,,,ap1,sta3,1,0,100,0
ping,3,test3.txt,,,ap1,sta4,1,0,100,0
ping,3,test3.txt,,,ap1,ap2,1,1,0,0.100
ping,3,test3.txt,,,ap2,sta1,1,0,100,0
ping,3,test3.txt,,,ap2,sta2,1,0,100,0
ping,3,test3.txt,,,ap2,sta3,1,0,100,0
ping,3,test3.txt,,,ap2,sta4,1,0,100,0
ping,3,test3.txt,,,ap2,ap1,1,1,0,0.153
ping,4,test4.txt,,,sta1,ap1,1,1,0,0.104
ping,4,test4.txt,,,sta1,ap2,1,1,0,0.103
ping,4,test4.txt,,,sta2,ap1,1,1,0,0.058
ping,4,test4.txt,,,sta2,ap2,1,1,0,0.079
ping,4,test4.txt,,,sta3,ap1,1,1,0,0.134
ping,4,test4.txt,,,sta3,ap2,1,1,0,0.137
ping,4,test4.txt,,,sta4,ap1,1,1,0,0.352
ping,4,test4.txt,,,sta4,ap2,1,1,0,0.123
ping,4,test4.txt,,,ap1,sta1,1,0,100,0
ping,4,test4.txt,,,ap1,sta2,1,0,100,0
ping,4,test4.txt,,,ap1,sta3,1,0,100,0
ping,4,test4.txt,,,ap1,sta4,1,0,100,0
ping,4,test4.txt,,,ap1,ap2,1,1,0,0.128
ping,4,test4.txt,,,ap2,sta1,1,0,100,0
ping,4,test4.txt,,,ap2,sta2,1,0,100,0
ping,4,test4.txt,,,ap2,sta3,1,0,100,0
ping,4,test4.txt,,,ap2,sta4,1,0,100,0
ping,4,test4.txt,,,ap2,ap1,1,1,0,0.093